,SVM_Run_0_CV_0,SVM_Run_0_CV_1,SVM_Run_0_CV_2,SVM_Run_0_CV_3,SVM_Run_0_CV_4,SVM_Run_1_CV_0,SVM_Run_1_CV_1,SVM_Run_1_CV_2,SVM_Run_1_CV_3,SVM_Run_1_CV_4,SVM_Run_2_CV_0,SVM_Run_2_CV_1,SVM_Run_2_CV_2,SVM_Run_2_CV_3,SVM_Run_2_CV_4,SVM_Run_3_CV_0,SVM_Run_3_CV_1,SVM_Run_3_CV_2,SVM_Run_3_CV_3,SVM_Run_3_CV_4,SVM_Run_4_CV_0,SVM_Run_4_CV_1,SVM_Run_4_CV_2,SVM_Run_4_CV_3,SVM_Run_4_CV_4
49,OTU_F_55643,OTU_F_38826,OTU_B_21434,OTU_B_40226,OTU_F_25540,OTU_B_40108,OTU_B_553579,OTU_F_39466,OTU_F_31566,OTU_F_103950,OTU_F_52653,OTU_F_52653,OTU_B_553579,OTU_F_38555,OTU_B_14674,OTU_F_17467,OTU_F_30942,OTU_F_68256,OTU_B_73408,OTU_B_170149,OTU_F_52653,OTU_F_103950,OTU_B_553579,OTU_B_65162,OTU_F_17467
50,OTU_F_17467,OTU_F_31566,OTU_F_99195,OTU_B_57075,OTU_F_40614,OTU_F_99195,OTU_F_30407,OTU_F_52653,OTU_F_94989,OTU_F_30854,OTU_F_31350,OTU_F_94989,OTU_F_1435,OTU_B_67783,OTU_F_136641,OTU_F_30854,OTU_F_52656,OTU_B_21438,OTU_B_17455,OTU_F_110078,OTU_F_30486,OTU_F_38555,OTU_B_56945,OTU_F_1435,OTU_F_37473
51,OTU_F_103950,OTU_B_23956,OTU_B_27711,OTU_B_123159,OTU_B_23956,OTU_B_54487,OTU_F_30942,OTU_F_38555,OTU_B_15904,OTU_B_21457,OTU_B_553579,OTU_F_31350,OTU_F_103950,OTU_F_130819,OTU_B_416914,OTU_F_37473,OTU_F_31350,OTU_B_416914,OTU_F_110078,OTU_F_52656,OTU_B_23956,OTU_B_170149,OTU_B_27711,OTU_B_23956,OTU_F_50873
52,OTU_F_130819,OTU_F_247,OTU_B_731894,OTU_F_38555,OTU_B_56945,OTU_B_65162,OTU_B_27711,OTU_F_30854,OTU_F_30942,OTU_F_31566,OTU_F_52656,OTU_F_50873,OTU_F_38555,OTU_F_12349,OTU_F_1435,OTU_F_31566,OTU_F_130819,OTU_F_129651,OTU_F_52653,OTU_F_17467,OTU_F_30942,OTU_F_30942,OTU_B_13461,OTU_F_30486,OTU_B_42446
53,OTU_B_73408,OTU_B_416914,OTU_F_25053,OTU_B_56945,OTU_F_30854,OTU_B_42446,OTU_B_14674,OTU_F_1435,OTU_F_40080,OTU_B_21438,OTU_B_23956,OTU_F_52656,OTU_F_68256,OTU_F_40080,OTU_B_76519,OTU_F_99195,OTU_B_553579,OTU_F_122647,OTU_F_50870,OTU_B_73408,OTU_B_42446,OTU_B_22182,OTU_B_26418,OTU_F_30407,OTU_F_12349
54,OTU_F_62992,OTU_B_140508,OTU_F_50873,OTU_B_23956,OTU_F_25053,OTU_B_416914,OTU_B_76519,OTU_F_107945,OTU_B_416914,OTU_F_68256,OTU_B_73408,OTU_F_30925,OTU_B_67783,OTU_F_30553,OTU_F_99195,OTU_B_76519,OTU_B_14674,OTU_F_30486,OTU_B_731894,OTU_F_15700,OTU_F_15700,OTU_B_26418,OTU_F_30942,OTU_B_57075,OTU_F_94989
55,OTU_B_42446,OTU_F_30942,OTU_F_129651,OTU_B_29197,OTU_B_64987,OTU_B_57059,OTU_F_130819,OTU_F_40080,OTU_F_12349,OTU_F_129651,OTU_B_21434,OTU_F_40614,OTU_B_27711,OTU_F_30486,OTU_B_40091,OTU_F_62992,OTU_F_99195,OTU_B_21457,OTU_B_56945,OTU_F_30486,OTU_F_94989,OTU_B_731894,OTU_B_29197,OTU_F_30395,OTU_B_76519
56,OTU_B_23956,OTU_B_67783,OTU_F_68256,OTU_F_40614,OTU_B_57075,OTU_F_25540,OTU_F_136641,OTU_F_129651,OTU_B_26279,OTU_F_30925,OTU_B_42446,OTU_B_22182,OTU_B_73408,OTU_F_31350,OTU_B_140508,OTU_F_130819,OTU_F_37473,OTU_B_42446,OTU_B_65162,OTU_F_76464,OTU_F_17467,OTU_B_57059,OTU_F_62992,OTU_B_67783,OTU_B_57075
57,OTU_F_129651,OTU_F_68259,OTU_F_30942,OTU_B_22182,OTU_F_136641,OTU_F_129651,OTU_B_26418,OTU_F_37473,OTU_B_21434,OTU_F_21449,OTU_F_40614,OTU_B_121783,OTU_B_59739,OTU_F_52656,OTU_F_31350,OTU_B_21434,OTU_F_40614,OTU_F_72950,OTU_F_136641,OTU_B_40108,OTU_B_553579,OTU_F_30448,OTU_F_17467,OTU_B_13461,OTU_B_170149
58,OTU_B_553579,OTU_F_94989,OTU_B_40108,OTU_F_72950,OTU_B_13461,OTU_B_21434,OTU_F_30395,OTU_B_553579,OTU_F_15700,OTU_B_731894,OTU_F_55643,OTU_F_76464,OTU_F_129651,OTU_B_13461,OTU_B_57059,OTU_B_57075,OTU_B_54487,OTU_B_123159,OTU_F_38826,OTU_B_57075,OTU_F_31350,OTU_F_136641,OTU_B_14674,OTU_B_64987,OTU_F_129651
59,OTU_F_25540,OTU_B_40226,OTU_F_40614,OTU_F_30854,OTU_F_37473,OTU_F_68256,OTU_B_170149,OTU_B_731894,OTU_F_50870,OTU_F_31350,OTU_F_17467,OTU_F_130819,OTU_F_94989,OTU_F_40614,OTU_F_25540,OTU_F_40614,OTU_B_64987,OTU_B_54523,OTU_F_1435,OTU_B_14674,OTU_B_76519,OTU_F_12349,OTU_B_21434,OTU_F_136641,OTU_B_14674
60,OTU_B_731894,OTU_F_30395,OTU_B_29197,OTU_F_129651,OTU_B_416914,OTU_B_21438,OTU_B_13461,OTU_B_170149,OTU_B_78969,OTU_F_72950,OTU_F_94989,OTU_F_50870,OTU_F_50873,OTU_B_123159,OTU_B_64987,OTU_B_553579,OTU_B_57075,OTU_F_130819,OTU_F_130819,OTU_F_1435,OTU_B_121783,OTU_F_107945,OTU_F_108778,OTU_F_31350,OTU_B_731894
61,OTU_F_31350,OTU_B_21434,OTU_B_13461,OTU_F_25540,OTU_F_130819,OTU_F_94989,OTU_F_30854,OTU_B_21434,OTU_B_17455,OTU_F_107945,OTU_F_12349,OTU_F_15700,OTU_B_56945,OTU_F_97887,OTU_F_108778,OTU_F_30942,OTU_B_29197,OTU_F_30395,OTU_F_30395,OTU_B_42446,OTU_F_40080,OTU_F_40614,OTU_B_64987,OTU_F_1551,OTU_B_29197
62,OTU_B_78969,OTU_B_14674,OTU_F_94989,OTU_F_130819,OTU_F_247,OTU_F_103950,OTU_F_30486,OTU_F_99195,OTU_B_64987,OTU_B_416914,OTU_B_170149,OTU_B_416914,OTU_F_25053,OTU_F_1435,OTU_F_129651,OTU_B_731894,OTU_B_27711,OTU_B_76519,OTU_F_50873,OTU_F_38555,OTU_F_103950,OTU_F_30395,OTU_F_30854,OTU_F_76464,OTU_F_1435
63,OTU_F_40080,OTU_B_78969,OTU_B_56945,OTU_B_54487,OTU_B_17455,OTU_B_59739,OTU_B_416914,OTU_B_21438,OTU_F_37473,OTU_F_130819,OTU_F_130819,OTU_F_12349,OTU_B_14674,OTU_B_21434,OTU_F_30486,OTU_B_56945,OTU_B_23956,OTU_B_121783,OTU_B_29197,OTU_F_99195,OTU_B_21438,OTU_F_94989,OTU_F_129651,OTU_B_59739,OTU_F_31350
64,OTU_B_13461,OTU_B_59739,OTU_F_30925,OTU_F_107945,OTU_F_99195,OTU_F_25053,OTU_B_73408,OTU_B_76519,OTU_B_67783,OTU_F_52656,OTU_B_14674,OTU_B_21434,OTU_B_42446,OTU_F_99195,OTU_B_40108,OTU_F_68256,OTU_F_12349,OTU_F_31350,OTU_B_76519,OTU_F_103950,OTU_F_99195,OTU_B_123159,OTU_F_72950,OTU_B_121783,OTU_F_99195
65,OTU_B_76519,OTU_F_31350,OTU_F_1551,OTU_F_31350,OTU_B_21434,OTU_B_56945,OTU_B_731894,OTU_B_78969,OTU_F_62992,OTU_F_136641,OTU_F_107945,OTU_B_14674,OTU_B_416914,OTU_B_27711,OTU_B_731894,OTU_B_59739,OTU_F_1435,OTU_F_40080,OTU_F_31350,OTU_F_30395,OTU_F_12349,OTU_B_21434,OTU_B_76519,OTU_B_56945,OTU_B_13461
66,OTU_B_27711,OTU_F_17467,OTU_B_40091,OTU_F_103950,OTU_F_31566,OTU_F_30395,OTU_F_94989,OTU_B_67783,OTU_B_76519,OTU_F_37473,OTU_B_121783,OTU_F_30486,OTU_B_23956,OTU_F_31566,OTU_B_13461,OTU_B_13461,OTU_F_62992,OTU_B_29197,OTU_B_21454,OTU_B_23956,OTU_B_13461,OTU_B_40108,OTU_F_1551,OTU_F_52656,OTU_F_107945
67,OTU_F_107945,OTU_B_56945,OTU_F_38555,OTU_F_76464,OTU_B_78969,OTU_F_17467,OTU_B_21438,OTU_F_31350,OTU_B_42446,OTU_F_30486,OTU_B_731894,OTU_F_247,OTU_F_25540,OTU_B_59739,OTU_B_170149,OTU_F_247,OTU_F_76464,OTU_F_17467,OTU_B_23956,OTU_F_130819,OTU_B_731894,OTU_F_72950,OTU_F_12349,OTU_F_30854,OTU_F_30942
68,OTU_B_29197,OTU_F_62992,OTU_F_72950,OTU_B_731894,OTU_B_59739,OTU_F_108778,OTU_F_12349,OTU_B_23956,OTU_F_129651,OTU_B_57075,OTU_B_40226,OTU_B_38079,OTU_B_64987,OTU_F_15700,OTU_B_73408,OTU_B_64987,OTU_B_26418,OTU_F_12349,OTU_F_55643,OTU_B_731894,OTU_B_40226,OTU_F_50873,OTU_F_76464,OTU_B_17455,OTU_B_78969
69,OTU_B_56945,OTU_F_37473,OTU_F_1435,OTU_F_30395,OTU_F_30395,OTU_B_40091,OTU_B_78969,OTU_B_40226,OTU_B_21438,OTU_F_30448,OTU_F_40080,OTU_F_40080,OTU_B_40226,OTU_B_42446,OTU_F_37473,OTU_F_31350,OTU_B_40226,OTU_F_94989,OTU_F_129651,OTU_F_30942,OTU_F_1435,OTU_F_21449,OTU_F_15700,OTU_B_21434,OTU_B_57059
70,OTU_B_21438,OTU_B_121783,OTU_B_57059,OTU_F_37473,OTU_F_31350,OTU_F_72950,OTU_F_31350,OTU_B_27711,OTU_B_57075,OTU_F_68259,OTU_B_13461,OTU_F_136641,OTU_F_31301,OTU_F_136641,OTU_F_50873,OTU_B_73408,OTU_F_247,OTU_B_56945,OTU_B_78969,OTU_B_13461,OTU_B_26418,OTU_F_30502,OTU_B_23956,OTU_B_40091,OTU_B_21434
71,OTU_F_122647,OTU_B_57075,OTU_F_40080,OTU_B_21434,OTU_F_50873,OTU_F_37473,OTU_B_56945,OTU_F_122647,OTU_F_247,OTU_F_1435,OTU_F_136641,OTU_F_1551,OTU_F_62992,OTU_B_26418,OTU_F_247,OTU_B_14674,OTU_B_21434,OTU_B_54487,OTU_F_37473,OTU_B_78969,OTU_F_247,OTU_F_31301,OTU_F_94989,OTU_B_416914,OTU_F_30486
72,OTU_F_108778,OTU_B_21454,OTU_F_30854,OTU_F_136641,OTU_B_27711,OTU_B_731894,OTU_F_108778,OTU_B_40091,OTU_B_170149,OTU_F_40614,OTU_B_56945,OTU_F_30942,OTU_F_68259,OTU_B_73408,OTU_B_21438,OTU_F_31301,OTU_F_25053,OTU_F_1551,OTU_B_27711,OTU_F_68259,OTU_F_37473,OTU_F_31350,OTU_B_54523,OTU_F_130819,OTU_F_30395
73,OTU_F_247,OTU_F_50873,OTU_B_14674,OTU_F_94989,OTU_B_54523,OTU_F_247,OTU_F_76464,OTU_F_31301,OTU_B_40091,OTU_B_14674,OTU_F_129651,OTU_F_1435,OTU_F_30395,OTU_B_14674,OTU_F_76464,OTU_F_76464,OTU_B_56945,OTU_F_68259,OTU_F_94989,OTU_B_121783,OTU_B_56945,OTU_B_26279,OTU_B_42446,OTU_B_42446,OTU_B_40091
74,OTU_B_121783,OTU_F_76464,OTU_F_38826,OTU_B_59739,OTU_F_30942,OTU_F_76464,OTU_F_1435,OTU_B_56945,OTU_B_56945,OTU_B_67783,OTU_F_76464,OTU_F_17467,OTU_B_731894,OTU_F_31301,OTU_F_130819,OTU_B_17455,OTU_B_21454,OTU_F_76464,OTU_F_23990,OTU_B_76519,OTU_B_170149,OTU_B_64987,OTU_B_73408,OTU_B_21454,OTU_F_30925
75,OTU_F_1435,OTU_B_42446,OTU_F_108778,OTU_B_26418,OTU_F_30925,OTU_B_78969,OTU_B_64987,OTU_F_30486,OTU_B_21454,OTU_B_76519,OTU_F_15700,OTU_F_30395,OTU_B_21438,OTU_F_247,OTU_F_107945,OTU_B_21438,OTU_B_123159,OTU_F_136641,OTU_F_247,OTU_F_136641,OTU_F_130819,OTU_F_15700,OTU_F_31350,OTU_F_30553,OTU_B_56945
76,OTU_F_94989,OTU_F_15700,OTU_B_64987,OTU_B_14674,OTU_B_123159,OTU_B_13461,OTU_F_129651,OTU_F_15700,OTU_F_31301,OTU_B_121783,OTU_F_247,OTU_B_21454,OTU_F_37473,OTU_F_62992,OTU_B_29197,OTU_F_15700,OTU_B_73408,OTU_F_62992,OTU_F_107945,OTU_F_40080,OTU_F_1551,OTU_B_78969,OTU_B_67783,OTU_F_31301,OTU_F_103950
77,OTU_B_64987,OTU_F_68256,OTU_F_30448,OTU_F_31566,OTU_F_76464,OTU_B_54523,OTU_B_29197,OTU_F_94989,OTU_F_30502,OTU_F_31301,OTU_F_31566,OTU_B_29197,OTU_B_26279,OTU_B_416914,OTU_B_26279,OTU_F_30925,OTU_F_108778,OTU_F_52656,OTU_B_40091,OTU_B_123159,OTU_F_107945,OTU_B_76519,OTU_F_37473,OTU_F_247,OTU_B_59739
78,OTU_F_31301,OTU_F_130819,OTU_B_78969,OTU_F_12349,OTU_F_15700,OTU_F_1551,OTU_B_59739,OTU_F_1551,OTU_F_50873,OTU_F_30395,OTU_F_1551,OTU_F_30448,OTU_B_21434,OTU_B_78969,OTU_F_12349,OTU_F_50870,OTU_F_31301,OTU_B_57075,OTU_B_170149,OTU_B_17455,OTU_F_136641,OTU_F_68259,OTU_B_17455,OTU_B_54523,OTU_B_416914
79,OTU_B_57059,OTU_F_1435,OTU_B_76519,OTU_B_73408,OTU_B_40091,OTU_B_26418,OTU_F_107945,OTU_B_29197,OTU_F_38826,OTU_B_21434,OTU_F_68259,OTU_B_78969,OTU_F_31350,OTU_B_26279,OTU_B_56945,OTU_B_54523,OTU_B_42446,OTU_B_26279,OTU_B_553579,OTU_F_30854,OTU_F_31301,OTU_F_130819,OTU_F_136641,OTU_F_15700,OTU_B_123159
80,OTU_B_40091,OTU_B_54523,OTU_B_21454,OTU_B_78969,OTU_B_731894,OTU_F_31566,OTU_B_121783,OTU_F_30395,OTU_B_73408,OTU_B_57059,OTU_B_76519,OTU_B_40091,OTU_F_30925,OTU_B_40091,OTU_F_31566,OTU_B_78969,OTU_F_30502,OTU_F_50873,OTU_B_140508,OTU_F_50873,OTU_F_76464,OTU_B_14674,OTU_F_122647,OTU_B_73408,OTU_F_1551
81,OTU_F_136641,OTU_F_50870,OTU_F_12349,OTU_F_17467,OTU_B_21438,OTU_F_54660,OTU_F_31301,OTU_F_68259,OTU_B_59739,OTU_B_17455,OTU_F_31301,OTU_B_59739,OTU_B_78969,OTU_F_72950,OTU_F_54660,OTU_F_94989,OTU_B_731894,OTU_B_26418,OTU_F_15700,OTU_F_108778,OTU_B_17455,OTU_F_52656,OTU_F_30925,OTU_F_12349,OTU_F_136641
82,OTU_F_15700,OTU_B_170149,OTU_F_31350,OTU_F_21449,OTU_B_42446,OTU_F_136641,OTU_B_21454,OTU_F_76464,OTU_F_68259,OTU_F_15700,OTU_B_21438,OTU_B_26279,OTU_B_123159,OTU_B_54523,OTU_F_30395,OTU_B_21454,OTU_B_17455,OTU_F_30925,OTU_F_30553,OTU_F_31566,OTU_F_108778,OTU_F_129651,OTU_B_40091,OTU_F_62992,OTU_B_121783
83,OTU_F_30448,OTU_F_12349,OTU_F_54660,OTU_F_50873,OTU_B_40226,OTU_F_12349,OTU_B_40091,OTU_F_12349,OTU_B_14674,OTU_F_76464,OTU_B_64987,OTU_F_31566,OTU_F_136641,OTU_F_50873,OTU_F_1551,OTU_F_108778,OTU_F_136641,OTU_B_14674,OTU_F_31301,OTU_F_30448,OTU_B_26279,OTU_B_40091,OTU_F_30502,OTU_F_30502,OTU_B_26279
84,OTU_F_12349,OTU_B_73408,OTU_F_15700,OTU_B_170149,OTU_F_30553,OTU_B_14674,OTU_F_30553,OTU_F_108778,OTU_F_108778,OTU_B_26279,OTU_B_26279,OTU_B_54523,OTU_F_108778,OTU_F_76464,OTU_F_31301,OTU_F_30502,OTU_F_94989,OTU_F_247,OTU_B_64987,OTU_F_12349,OTU_F_68259,OTU_B_73408,OTU_F_103950,OTU_F_37473,OTU_F_30553
85,OTU_F_30395,OTU_B_17455,OTU_F_62992,OTU_B_64987,OTU_B_54487,OTU_B_17455,OTU_F_50873,OTU_B_121783,OTU_B_57059,OTU_F_108778,OTU_B_54523,OTU_F_30553,OTU_F_30448,OTU_B_121783,OTU_F_94989,OTU_F_68259,OTU_F_31566,OTU_B_59739,OTU_B_26279,OTU_B_26279,OTU_B_73408,OTU_F_76464,OTU_B_121783,OTU_B_26279,OTU_F_30502
86,OTU_B_17455,OTU_F_30553,OTU_B_17455,OTU_F_30502,OTU_B_26279,OTU_B_123159,OTU_F_37473,OTU_F_30502,OTU_F_30925,OTU_F_17467,OTU_F_30395,OTU_B_57059,OTU_F_17467,OTU_B_17455,OTU_B_21454,OTU_B_121783,OTU_F_30925,OTU_F_31301,OTU_B_57059,OTU_F_54660,OTU_F_30448,OTU_F_31566,OTU_B_78969,OTU_F_54660,OTU_B_73408
87,OTU_B_21454,OTU_B_26418,OTU_B_42446,OTU_F_31301,OTU_F_31301,OTU_F_15700,OTU_B_54523,OTU_F_31566,OTU_F_76464,OTU_F_30553,OTU_B_57059,OTU_F_108778,OTU_B_57059,OTU_B_56945,OTU_F_30502,OTU_F_50873,OTU_F_68259,OTU_B_73408,OTU_F_30925,OTU_F_31350,OTU_F_50873,OTU_F_108778,OTU_B_123159,OTU_F_30925,OTU_F_31301
88,OTU_B_123159,OTU_B_57059,OTU_B_416914,OTU_F_52656,OTU_B_73408,OTU_B_64987,OTU_F_68259,OTU_B_123159,OTU_B_26418,OTU_F_54660,OTU_B_123159,OTU_B_42446,OTU_B_21454,OTU_F_68259,OTU_B_42446,OTU_F_30553,OTU_F_129651,OTU_F_1435,OTU_F_30502,OTU_B_59739,OTU_F_30395,OTU_B_42446,OTU_B_26279,OTU_B_78969,OTU_B_54523
89,OTU_F_76464,OTU_B_21438,OTU_B_21438,OTU_B_57059,OTU_B_121783,OTU_F_50873,OTU_F_99195,OTU_F_247,OTU_F_103950,OTU_B_21454,OTU_B_17455,OTU_F_30502,OTU_B_17455,OTU_B_40226,OTU_B_17455,OTU_B_40091,OTU_F_15700,OTU_F_37473,OTU_F_68259,OTU_F_107945,OTU_B_54523,OTU_B_40226,OTU_F_68259,OTU_B_170149,OTU_B_64987
90,OTU_F_1551,OTU_B_76519,OTU_B_26279,OTU_F_15700,OTU_F_30502,OTU_B_121783,OTU_F_30925,OTU_F_30925,OTU_F_1551,OTU_F_30942,OTU_F_50873,OTU_F_68259,OTU_B_170149,OTU_F_30448,OTU_F_30448,OTU_F_129651,OTU_F_1551,OTU_B_170149,OTU_F_30448,OTU_B_40226,OTU_F_31566,OTU_F_54660,OTU_F_54660,OTU_F_50873,OTU_F_31566
91,OTU_B_170149,OTU_F_108778,OTU_F_68259,OTU_F_30448,OTU_F_68259,OTU_B_26279,OTU_F_247,OTU_F_30448,OTU_F_30395,OTU_B_59739,OTU_F_30502,OTU_B_17455,OTU_F_12349,OTU_F_108778,OTU_B_121783,OTU_B_123159,OTU_F_30395,OTU_F_15700,OTU_F_1551,OTU_F_31301,OTU_F_30553,OTU_F_30925,OTU_F_50873,OTU_B_14674,OTU_F_15700
92,OTU_B_67783,OTU_F_30502,OTU_B_59739,OTU_F_108778,OTU_F_129651,OTU_F_31350,OTU_B_26279,OTU_F_136641,OTU_F_110078,OTU_B_123159,OTU_F_30925,OTU_B_57075,OTU_F_247,OTU_B_57059,OTU_F_110078,OTU_F_1435,OTU_B_78969,OTU_B_67783,OTU_F_76464,OTU_B_54523,OTU_F_30925,OTU_F_25850,OTU_F_30448,OTU_F_94989,OTU_F_108778
93,OTU_F_68259,OTU_B_64987,OTU_F_30395,OTU_B_17455,OTU_B_29197,OTU_B_73408,OTU_F_1551,OTU_F_30553,OTU_B_54523,OTU_B_40091,OTU_F_54660,OTU_F_31301,OTU_F_30502,OTU_F_30502,OTU_B_78969,OTU_B_42446,OTU_F_30553,OTU_F_108778,OTU_B_42446,OTU_B_40091,OTU_F_54660,OTU_B_17455,OTU_F_30553,OTU_B_21438,OTU_B_21454
94,OTU_F_30925,OTU_F_31301,OTU_F_31301,OTU_F_68259,OTU_F_30486,OTU_F_30553,OTU_F_31566,OTU_B_21454,OTU_B_123159,OTU_B_54523,OTU_F_1435,OTU_B_73408,OTU_B_29197,OTU_F_129651,OTU_B_54523,OTU_F_30395,OTU_B_57059,OTU_F_54660,OTU_B_21438,OTU_F_1551,OTU_B_21454,OTU_B_21454,OTU_B_21438,OTU_F_30448,OTU_F_68256
95,OTU_F_31566,OTU_B_40091,OTU_F_30502,OTU_B_21454,OTU_F_108778,OTU_B_170149,OTU_B_123159,OTU_B_57059,OTU_F_107945,OTU_F_247,OTU_F_30553,OTU_B_67783,OTU_F_30553,OTU_B_170149,OTU_F_15700,OTU_F_54660,OTU_B_121783,OTU_B_17455,OTU_B_123159,OTU_F_30925,OTU_F_30502,OTU_F_30553,OTU_B_57059,OTU_F_108778,OTU_F_110078
96,OTU_F_30553,OTU_F_30925,OTU_F_30553,OTU_B_76519,OTU_F_94989,OTU_F_30925,OTU_B_42446,OTU_F_50873,OTU_F_54660,OTU_F_1551,OTU_F_30448,OTU_B_26418,OTU_F_54660,OTU_B_731894,OTU_B_59739,OTU_F_30486,OTU_B_26279,OTU_B_57059,OTU_B_54523,OTU_F_247,OTU_B_64987,OTU_B_59739,OTU_F_30486,OTU_B_123159,OTU_F_68259
97,OTU_B_26279,OTU_F_52656,OTU_B_123159,OTU_F_30925,OTU_F_54660,OTU_F_31301,OTU_F_30502,OTU_B_54523,OTU_F_52656,OTU_B_73408,OTU_B_78969,OTU_F_54660,OTU_B_121783,OTU_B_64987,OTU_B_27711,OTU_B_26279,OTU_F_50873,OTU_F_30553,OTU_F_108778,OTU_F_30553,OTU_B_59739,OTU_B_121783,OTU_B_170149,OTU_F_68259,OTU_F_247
98,OTU_F_54660,OTU_B_123159,OTU_B_54523,OTU_B_121783,OTU_F_1551,OTU_B_21454,OTU_F_30448,OTU_B_17455,OTU_F_17467,OTU_B_26418,OTU_B_21454,OTU_B_123159,OTU_F_1551,OTU_F_30925,OTU_B_123159,OTU_F_30448,OTU_F_54660,OTU_B_21454,OTU_B_21434,OTU_B_416914,OTU_B_40091,OTU_B_56945,OTU_F_31301,OTU_B_76519,OTU_F_76464
99,OTU_F_50873,OTU_F_54660,OTU_B_121783,OTU_B_26279,OTU_F_12349,OTU_F_30448,OTU_B_17455,OTU_B_59739,OTU_B_121783,OTU_B_78969,OTU_B_59739,OTU_F_37473,OTU_F_15700,OTU_F_54660,OTU_F_30553,OTU_B_57059,OTU_B_170149,OTU_F_30502,OTU_B_121783,OTU_B_21454,OTU_B_57059,OTU_F_50870,OTU_F_30395,OTU_F_31566,OTU_B_17455
100,OTU_F_30502,OTU_F_30448,OTU_F_247,OTU_F_30553,OTU_B_21454,OTU_F_30502,OTU_F_15700,OTU_B_26279,OTU_F_30553,OTU_B_64987,OTU_F_108778,OTU_F_107945,OTU_F_31566,OTU_B_21454,OTU_F_68259,OTU_F_1551,OTU_B_21438,OTU_B_78969,OTU_B_59739,OTU_F_30502,OTU_B_78969,OTU_F_1435,OTU_F_31566,OTU_B_26418,OTU_F_30448
101,OTU_B_59739,OTU_B_26279,OTU_F_31566,OTU_F_54660,OTU_F_30448,OTU_F_68259,OTU_F_54660,OTU_F_54660,OTU_F_30448,OTU_F_30502,OTU_B_40091,OTU_F_122647,OTU_F_76464,OTU_F_94989,OTU_F_30925,OTU_F_12349,OTU_F_30448,OTU_F_30448,OTU_F_31566,OTU_B_64987,OTU_B_123159,OTU_B_57075,OTU_B_21454,OTU_F_17467,OTU_F_54660
